id,slug,sku,name
23498,"landfleisch-konservai-sunims-eriena-antiena-bulves-800g","440638","Landfleisch konservai šunims, ėriena, antiena, bulvės, 800g"
23496,"landfleisch-konservai-sunims-paukst-sirdysmenke-800g","440635","Landfleisch konservai šunims, paukšt. širdys+menkė, 800g"
23494,"landfleisch-konservai-sunims-paukstienalasisa-800g","440634","Landfleisch konservai šunims, paukštiena+lašiša, 800g"
23492,"landfleisch-konservai-sunims-paukstienaryziai-800g","440633","Landfleisch konservai šunims, paukštiena+ryžiai, 800g"
23490,"landfleisch-konservai-sunims-prieskrandziairyziai-800g","440632","Landfleisch konservai šunims, prieskrandžiai+ryžiai, 800g"
23488,"landfleisch-konservai-suniukams-su-kalakutiena-400g","440623","Landfleisch konservai šuniukams su kalakutiena, 400g"
23486,"landfleisch-konservai-sunims-eriena-antiena-bulves-400g","440618","Landfleisch konservai šunims, ėriena, antiena, bulvės, 400g"
23484,"landfleisch-konservai-sunims-antienaryziai-400g","440617","Landfleisch konservai šunims, antiena+ryžiai, 400g"
23482,"landfleisch-konservai-sunims-extra-mager-jautienaryziai-400g","440616","Landfleisch konservai šunims Extra mager, jautiena+ryžiai, 400g"
23480,"landfleisch-konservai-sunims-paukst-sirdysmenke-400g","440615","Landfleisch konservai šunims, paukšt. širdys+menkė, 400g"
23478,"landfleisch-konservai-sunims-paukstienalasisa-400g","440614","Landfleisch konservai šunims, paukštiena+lašiša, 400g"
23476,"landfleisch-konservai-sunims-paukstienaryziai-400g","440613","Landfleisch konservai šunims, paukštiena+ryžiai, 400g"
23474,"landfleisch-konservai-sunims-prieskrandziairyziai-400g","440612","Landfleisch konservai šunims, prieskrandžiai+ryžiai, 400g"
23472,"landfleisch-konservai-sunims-jauciu-sirdysmakaronai-400g","440611","Landfleisch konservai šunims, jaučių širdys+makaronai, 400g"
23470,"landfleish-konservai-katems-su-antiena-ir-vistiena-400-g","400227","Landfleish konservai katėms su antiena ir vištiena, 400 g"
